36.31,275.43,0.03
OFFAL CRAFT BEER COLORING BOOK SEITAN BEARD,0.0003179754,8,0.002528631411530815
TRADE BEARD,0.00031795033,8,0.0025284320477137177
DIY BEARD,0.00031790065,8,0.0025280369781312123
CRAFT BEER BEARD,0.00031786787,15,0.004739580566600397
BLOG,0.00031756485,175,0.05524239438369782
GODARD,0.0003170595,223,0.07028257306163022
COLORING BOOK FASHION AXE FLANNEL HUMBLEBRAG SWAG,0.00031704566,8,0.0025212378528827032
VHS,0.00031693958,196,0.06174965972166997
SYNTH GODARD PORK BELLY,0.00031691027,10,0.003150201491053678
WAISTCOAT YUCCIE PORK BELLY AFFOGATO,0.00031690576,10,0.0031501566600397614
DENIM PALO,0.0003167694,9,0.0028339210735586476
INTELLIGENTSIA FANNY PACK POKE HAMMOCK CRAFT BEER TAIYAKI KEYTAR LEGGINGS FASHION AXE SHAMAN CLOUD BREAD,0.00031663344,10,0.0031474497017892644
MIXTAPE STREET ART PALO,0.00031661952,8,0.002517849065606362
COPPER MUG BUTCHER MEDITATION,0.00031650913,8,0.002516971212723658
ENNUI SUBWAY TILE,0.0003162574,8,0.002514969383697813
MIXTAPE,0.00031608727,218,0.06849604856858847
CRED LA CROIX,0.00031571716,10,0.0031383415506958247
KOMBUCHA PALO,0.0003150101,8,0.0025050504970178925
LA CROIX,0.000315001,204,0.06387694234592446
SEMIOTICS PORK BELLY,0.0003142903,10,0.0031241580516898604
SUBWAY TILE NARWHAL POLAROID,0.0003142301,10,0.0031235596421471173
PORK BELLY,0.00031404686,196,0.06118606815109343
HASHTAG IRONY VINYL MEDITATION PRISM MIXTAPE,0.0003139949,10,0.003121221669980119
BOTTLE,0.00031391947,194,0.060537154254473154
COFFEE,0.00031391726,194,0.060536728071570574
DOLLAR TOAST,0.00031356807,180,0.05610561888667992
MAN BRAID EDISON BULB,0.00031291434,10,0.0031104805168986087
SHAMAN GASTROPUB ART PARTY AFFOGATO,0.00031290317,9,0.002799332534791252
ROOF,0.00031259854,185,0.05748581500994035
SWAG GODARD,0.00031242656,9,0.0027950686282306163
DRINKING VINEGAR,0.00031237619,157,0.04875055847912525
CHARCOAL MASTER,0.00031226614,10,0.0031040371769383694
LA CROIX PLAID,0.00031215276,7,0.002172037097415507
PRISM LETTERPRESS,0.00031190246,8,0.0024803376540755468
SQUID PORK BELLY,0.00031189751,9,0.002790335576540756
